Cache State:
Block 55: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 56: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 57: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 58: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 59: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 60: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 61: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 62: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 63: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
End of Cache State

